...1,age,position,detailed_position,nationalTeam.isoCode,national_team,currentTeam.club.name,currentTeam.club.abbr,official_birthday,birth.country.isoCode,birth.country.country,birth.country.demonym,birth.place,name,first_name,last_name,info.shirtNum,name.middle,info.loan,currentTeam.club.source,previousTeam.name,previousTeam.club.name,previousTeam.club.abbr,previousTeam.club.id,previousTeam.teamType,previousTeam.shortName,previousTeam.id,previousTeam.altIds.opta,previousTeam.club.source,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,assist_attempt_saved,assist_blocked_shot,assist_own_goal,assist_penalty_won,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_high_left,att_cmiss_high_right,att_cmiss_left,att_cmiss_right,att_corner,att_fastbreak,att_goal_high_centre,att_goal_high_left,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_post,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_lg_centre,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obp_goal,att_obx_centre,att_one_on_one,att_openplay,att_post_high,att_post_left,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,fifty_fifty,final_third_entries,formation_place,fouled_final_third,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,goal_fastbreak,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,own_goals,passes_left,passes_right,penalty_won,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,shield_ball_oop,shot_fastbreak,shot_off_target,six_yard_block,successful_fifty_fifty,successful_final_third_passes,successful_open_play_pass,successful_put_through,times_tackled,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,winning_goal,wins,won_contest,won_corners,won_tackle,yellow_card,corner_taken,total_corners_intobox,accurate_goal_kicks,blocked_cross,effective_blocked_cross,error_lead_to_goal,error_lead_to_shot,goal_kicks,penalty_conceded,accurate_keeper_sweeper,accurate_keeper_throws,att_assist_setplay,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,good_high_claim,keeper_pick_up,keeper_throws,last_man_tackle,penalty_faced,penalty_save,punches,red_card,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,accurate_corners_intobox,accurate_freekick_cross,foul_throw_in,freekick_cross,goal_assist_deadball,goal_assist_setplay,clearance_off_line,assist_pass_lost,att_freekick_goal,att_freekick_target,att_freekick_total,att_lg_right,att_obox_post,att_obxd_left,att_obx_left,att_obx_right,att_post_right,second_goal_assist,assist_post,att_lg_left,att_pen_goal,att_pen_post,dangerous_play,att_freekick_miss,att_freekick_post,att_obxd_right,assist_handball_won,assist_free_kick_won,second_yellow,att_pen_target,att_pen_miss,back_pass,rescinded_red_card
483,24 years 340 days,M,Left/Right Wing Back,GB-ENG,England,NA,NA,29 August 1997,GB-ENG,England,English,London,Ainsley Maitland-Niles,Ainsley,Maitland-Niles,15,NA,TRUE,NA,Roma,Roma,RMA,203,FIRST,Roma,203,t121,NA,1085,74,17,17,1,1042,6,12,101,2110,1,1,345,63,40,87,NA,NA,NA,2,31,493,317,11,17,31,8,0,2,0,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,2,1,5,NA,1,5,NA,3,1,1,4,3,5,NA,10,2,NA,17,NA,22,1,NA,1,6,23,3,NA,NA,1,3,1,2,447,359,5,2,1,130,7,77,14,58,19,85,21,336,315,95,41,58,268,0,11,53,912,55,1,81,75,6,1,3,3,3,NA,1,41,137,1,94,9,94,735,225,140,28,50,5262,8,12,22,8,2561,11,17,NA,253,508,2,140,12,886,886,20,210,129,1,130,520,6,NA,13,NA,29,563,2059,65,61,34,1278,143,95,143,78,77,230002.11232757568,1,771,8,1414,77,13,221,3,2614,5,28,8,32,141,3,387,4078,96,107,107,50,0,38,84,23,84,8,2,1,NA,28,28,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
484,20 years 30 days,M,Centre Central Midfielder,GB-ENG,England,NA,NA,5 July 2002,GB-ENG,England,English,NA,Malachi Boateng,Malachi,Boateng,NA,NA,NA,NA,Crystal Palace,Crystal Palace,CRY,6,U21,Crystal Palace,275,t7137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,22 years 352 days,D,Left Full Back,NL,Netherlands,Manchester United,MUN,17 August 1999,NL,Netherlands,Dutch,Rotterdam,Tyrell Malacia,Tyrell,Malacia,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,30 years 116 days,F,Left/Right Winger,SN,Senegal,FC Bayern München,FCB,10 April 1992,SN,Senegal,Senegalese,Sedihou,Sadio Mané,Sadio,Mané,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495,205,72,72,63,4995,2,402,228,6418,14,23,102,494,260,263,5,1,2,8,167,1228,750,358,78,340,338,54,39,17,1,3,23,36,32,28,11,5,12,20,34,29,15,60,3,22,106,111,108,169,9,112,31,43,189,1,48,16,20,53,75,32,3,43,39,0,117,19,543,2,6,65,87,327,21,19,4,6,67,30,27,2039,1070,63,96,77,481,143,173,50,329,55,457,57,1770,1559,71,43,233,707,589,170,317,1792,236,111,204,180,24,101,38,30,36,8,30,43,436,16,118,3,118,1615,302,195,44,21,20657,9,118,261,262,8044,7,106,NA,1514,1085,8,829,13,3684,3682,180,297,591,12,481,2657,2,28,224,20,105,3108,6360,200,218,380,1722,369,73,883,386,384,863057.8706665039,33,4278,192,6767,28,445,347,165,8103,46,629,90,26,304,62,106,12980,1218,696,696,493,9,162,508,232,219,29,9,2,NA,22,22,NA,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,2,NA,3,1,NA,NA,4,4,NA,NA,NA,NA,1,1,NA,1,1,2,1,1,NA,NA,NA
487,24 years 139 days,M,Centre Central Midfielder,BE,Belgium,Nottingham Forest,NFO,18 March 1998,BE,Belgium,Belgian,Brussels,Orel Mangala,Orel,Mangala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,28 years 91 days,D,Right Full Back,ES,Spain,Newcastle United,NEW,5 May 1994,ES,Spain,Spanish,Madrid,Javier Manquillo,Javier,Manquillo,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001,53,29,29,7,1127,31,7,92,2099,NA,NA,638,107,116,122,NA,NA,NA,NA,42,857,522,8,2,30,5,NA,6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,1,3,3,2,4,NA,2,NA,1,3,NA,2,1,NA,3,1,1,NA,3,NA,NA,4,NA,12,NA,NA,2,0,9,1,NA,NA,NA,1,1,NA,521,398,5,NA,2,167,4,68,21,104,93,58,30,377,478,257,109,46,394,31,20,87,1195,100,2,148,129,19,1,7,5,6,NA,NA,109,308,NA,118,18,118,690,465,229,58,76,8733,26,15,24,4,2750,24,19,NA,299,735,NA,219,10,1305,1304,10,274,114,NA,167,368,5,NA,7,1,22,548,2079,70,27,39,1242,168,258,116,197,197,502570.9326171875,1,779,25,1729,176,8,299,12,2774,2,15,22,22,227,1,835,5120,59,120,120,79,0,34,58,36,152,20,NA,NA,0,64,64,NA,1,0,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
489,20 years 5 days,F,Forward,FR,France,Southampton,SOU,30 July 2002,FR,France,French,Paris,Sékou Mara,Sékou,Mara,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,33 years 166 days,D,Defender,BR,Brazil,Wolverhampton Wanderers,WOL,19 February 1989,BR,Brazil,Brazilian,São Paulo,Marçal,Fernando,Marçal de Oliveira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,38,11,11,NA,413,7,NA,39,785,NA,NA,177,26,37,31,NA,1,2,NA,23,161,91,3,10,14,1,NA,NA,NA,NA,NA,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,NA,NA,11,NA,NA,1,1,1,4,3,NA,7,NA,NA,10,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,237,124,1,1,NA,62,5,21,7,43,27,8,3,108,118,58,35,58,118,NA,1,41,326,24,NA,23,18,5,NA,NA,NA,NA,NA,1,35,81,1,40,3,40,36,128,77,13,14,2074,5,7,7,1,982,6,3,NA,332,20,NA,72,6,349,349,7,81,36,NA,62,392,1,NA,7,1,28,185,777,30,21,14,461,70,58,27,73,71,NA,NA,268,3,603,34,NA,93,1,991,2,13,8,7,55,0,193,1606,27,31,31,12,0,15,14,5,27,5,3,2,NA,19,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,19 years 227 days,G,Goalkeeper,BR,Brazil,Liverpool,LIV,20 December 2002,BR,Brazil,Brazilian,NA,Marcelo Pitaluga,Marcelo,de Araújo Pitaluga Filho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,28 years 15 days,M,Left/Centre/Right Attacking Midfielder,GB-ENG,England,Brighton and Hove Albion,BHA,20 July 1994,GB-ENG,England,English,NA,Solly March,Solly,March,20,Benjamin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949,152,119,76,19,1620,17,63,176,2450,4,4,228,171,83,142,NA,NA,1,2,72,799,512,68,66,93,20,24,17,2,NA,1,3,6,8,2,NA,NA,1,1,1,1,2,2,NA,3,8,22,4,24,1,17,1,24,104,NA,11,8,4,9,17,21,NA,25,19,NA,65,NA,104,NA,NA,1,9,21,6,5,2,2,13,7,7,874,547,18,6,2,288,43,99,13,297,86,167,51,668,585,109,42,86,365,NA,40,125,932,95,4,132,116,16,4,10,8,7,NA,8,42,246,4,99,12,99,594,266,109,58,63,8874,5,60,74,40,3166,19,16,NA,783,500,2,583,16,1715,1715,63,271,213,2,288,840,10,2,51,1,32,961,2387,110,87,136,1141,309,109,295,535,416,493410.20782470703,2,1394,75,2634,123,70,391,29,3240,10,134,41,47,214,4,266,5744,247,148,148,109,1,33,180,130,117,7,145,119,NA,53,53,NA,2,NA,1,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,11,NA,33,1,3,1,1,NA,4,8,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
493,27 years 148 days,M,Left/Centre Attacking Midfielder,DK,Denmark,Bournemouth,BOU,9 March 1995,DK,Denmark,NA,Hvidovre,Emiliano Marcondes,Emiliano,Marcondes,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,28 years 338 days,D,Centre Central Defender,ES,Spain,NA,NA,31 August 1993,ES,Spain,Spanish,Valencia,Pablo Marí,Pablo,Marí,22,NA,TRUE,NA,Udinese,Udinese,UDI,334,FIRST,Udinese,453,t136,NA,540,19,NA,NA,1,175,4,NA,30,715,NA,NA,1,28,36,14,NA,NA,NA,NA,7,117,50,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,55,1,NA,NA,4,1,8,5,NA,NA,NA,2,45,64,48,27,18,50,NA,NA,11,267,14,NA,12,12,NA,NA,NA,NA,NA,NA,NA,27,74,NA,13,3,13,207,132,83,5,7,1194,8,2,1,NA,812,11,NA,NA,110,23,NA,7,NA,109,109,1,27,27,NA,4,302,NA,NA,2,NA,11,33,707,2,0,3,585,55,48,3,NA,NA,NA,NA,59,1,236,30,NA,91,NA,821,NA,3,1,NA,22,NA,1,946,6,3,3,5,0,7,3,1,13,3,NA,NA,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,20 years 349 days,F,Forward,GB-ENG,England,Blackburn Rovers,BLB,20 August 2001,GB-ENG,England,English,NA,Dilan Markanday,Dilan,Markanday,18,Kumar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,19 years 119 days,F,Forward,BR,Brazil,Arsenal,ARS,7 April 2003,BR,Brazil,Brazilian,NA,Marquinhos,Marcus Vinícius,Oliveira Alencar,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
